N,algo,time,iteration
10,ijk,617647.750000,1073742
110,ijk,1045165.000000,807
210,ijk,1347214.750000,116
310,ijk,1413482.750000,37
410,ijk,1589046.500000,16
510,ijk,1803842.250000,9
610,ijk,1563161.500000,5
710,ijk,2026494.500000,4
810,ijk,2306939.250000,3
910,ijk,2270887.750000,2
10,jik,870828.750000,1073742
110,jik,1037627.750000,807
210,jik,1351951.250000,116
310,jik,1493049.250000,37
410,jik,1474342.750000,16
510,jik,1696778.250000,9
610,jik,1580042.000000,5
710,jik,2188812.000000,4
810,jik,2234352.000000,3
910,jik,2234921.500000,2
10,kij,631408.750000,1073742
110,kij,454565.500000,807
210,kij,413337.500000,116
310,kij,400463.500000,37
410,kij,419452.000000,16
510,kij,465992.250000,9
610,kij,436948.250000,5
710,kij,561476.500000,4
810,kij,650731.000000,3
910,kij,640467.750000,2
10,ikj,606034.500000,1073742
110,ikj,405042.000000,807
210,ikj,354704.500000,116
310,ikj,390859.000000,37
410,ikj,388033.250000,16
510,ikj,413886.250000,9
610,ikj,463964.250000,5
710,ikj,609870.000000,4
810,ikj,670129.000000,3
910,ikj,626864.500000,2
10,jki,968093.500000,1073742
110,jki,849267.750000,807
210,jki,978134.500000,116
310,jki,1069818.250000,37
410,jki,1439303.750000,16
510,jki,1930001.000000,9
610,jki,2083614.500000,5
710,jki,2722087.000000,4
810,jki,3480536.250000,3
910,jki,4331110.250000,2
10,kji,966674.250000,1073742
110,kji,1023340.750000,807
210,kji,1234255.750000,116
310,kji,1177943.750000,37
410,kji,1485491.500000,16
510,kji,1963980.750000,9
610,kji,1873737.250000,5
710,kji,2795508.500000,4
810,kji,3135641.750000,3
910,kji,3856491.000000,2
